Due Date,Pick Date,Scheduler,WOB#,Customer,Finish,Notes to  Warehouse,Lines,Total Quantity,SQM Unscheduled,SQM Released,SQM In Process,SQM Closed
22/7/2025,15/7/2025,V-KYSB,WOB05893,C01954 JCE WINDOWS & GLASS (THE TRUSTEE FOR GRISCTI FAMILY TRUST),NV | 272-7865S Basalt Satin *,CPO-1335,21,79,0,0,0,108.65
22/7/2025,15/7/2025,V-KYSB,WOB05905,C01722 EXPRESS ALUMINIUM WINDOWS UNIT TRUST(THE TRUSTE FOR EAW T/AS,NV | 272-1139S White Satin,CPO-E15/07,2,10,0,0,0,7.15
22/7/2025,15/7/2025,V-KYSB,WOB05906,C01763 STEVENS GLASS,NV | 984-19959 Flame Red Gloss *,CPO-02936PY,5,39,0,0,0,78.12
22/7/2025,15/7/2025,V-KYSB,WOB05907,- None -,NV | 272-8122S Jasper Satin,Darley Stock,2,7,0,0,0,9.5
22/7/2025,15/7/2025,V-KYSB,WOB05910,- None -,NV | 272-2266M Surfmist Matt *,Darley Stock,1,20,0,0,0,8.6
22/7/2025,15/7/2025,V-KYSB,WOB05913,C02165 TARANTO GLASS PTY LTD,NV | 971-59003 Metropolis Bronze Prl Satin,CPO - 39308,3,4,0,0,0,2.55
22/7/2025,15/7/2025,V-KYSB,WOB05914,- None -,NV | 272-84365 Primrose Gloss,Darley Stock,1,10,0,0,0,8.58
22/7/2025,15/7/2025,V-KYSB,WOB05916,- None -,NV | GY070A Ultra Silver Gloss,Darley Stock,1,20,0,0,0,8.6
22/7/2025,15/7/2025,V-KYSB,WOB05917,- None -,NV | 272-9067S Monument Satin,Darley Stock,2,22,0,0,0,25.02
22/7/2025,15/7/2025,V-KYSB,WOB05918,C02165 TARANTO GLASS PTY LTD,NV | 272-7255S Woodland Grey Satin,CPO - 39309,1,1,0,0,0,1.65
22/7/2025,15/7/2025,V-KYSB,WOB05919,C03308 NU WINDOWS PTY LTD,NV | 260-3135S Paperbark Satin *,CPO - 20 TORGUATA CRT,13,29,0,0,0,75.94
22/7/2025,15/7/2025,V-KYSB,WOB05925,C01472 CREATIVE WINDOWS,NV | 971-7043K Silver Kinetic Pearl Satin *1,CPO: H027-2529,3,20,0,0,0,56.47
22/7/2025,16/7/2025,V-KYSB,WOB05934,C01714 PROGUARD SCREENS(ECO HOME CORPORATE INVESTMENTS P/L TRADING,NV | 272-1139M White Matt,CPO - PG3807 ELITE,1,100,0,0,0,198.94
22/7/2025,16/7/2025,V-KYSB,WOB05940,C01472 CREATIVE WINDOWS,NV | 272-19319 Black Matt,CPO - H031-8005,15,17,0,0,0,44.17
22/7/2025,16/7/2025,V-KYSB,WOB05941,C01984 EXPRESS GLASS 24HR SERVICE PTY LTD (VIC),NV | 272-19319 Black Matt,CPO - PO-56227,3,4,0,0,0,6.37
22/7/2025,16/7/2025,V-KYSB,WOB05950,C02165 TARANTO GLASS PTY LTD,NV | 971-59003 Metropolis Bronze Prl Satin,CPO: 39308 Add On,1,2,0,0,0,1
