Due Date,Pick Date,Scheduler,WOB#,Customer,Finish,Notes to  Warehouse,Lines,Total Quantity,SQM Unscheduled,SQM Released,SQM In Process,SQM Closed
1/9/2025,27/8/2025,N-ESKP,WOB06376,C01189 CASH SALES NSW ****,NV | GA236A Surfmist Matt,B/O,1,45,0,46.8,0,0
28/8/2025,24/7/2025,W-HOPV,WOB06183,C01594 K & R CONTRACTORS (WA) PTY LTD,W | GL229A MONUMENT(R) MATT,Please pack in bundles,4,21,0,31.95,0,0
27/8/2025,16/7/2025,W-HOPV,WOB05968,C03506 HEATSEAL PTY LTD,W | WOODLOOK RANGE,(MARK: IRONBARK WOODGRAIN)  PLEASE DELIVER TO WOODLOOK FRIDAY 18TH JULY,11,29,0,0,27.31,0
27/8/2025,28/7/2025,Q-YTLA,WOB06295,C02162 WELLMOORE GLASS & ALUMINIUM,Q | 272-5125S Deep Ocean Satin,- None -,1,5,0,0,4.5,0
22/8/2025,25/7/2025,W-HOPV,WOB06241,C02359 RELIABLE GLASS AND ALUMINIUM,W | 27281880 CLASSIC PEARL WHITE,TO02041,2,2,0,5.84,0,0
22/8/2025,25/7/2025,W-HOPV,WOB06253,C02970 ARC GLASS & ALUMINIUM,W | 90E9190F ELEMENTS BLACK (NIGHT SKY),Please pack in bundles,4,42,0,0,105.93,0
21/8/2025,23/7/2025,Q-YTLA,WOB06138,C01240 JACKSON R CAMPBELL TA JRC GLASS SOLUTIONS,Q | Light Bronze Ano - 20um,- None -,25,40,0,0,57.86,0
21/8/2025,23/7/2025,Q-YTLA,WOB06143,C01606 CMB MANUFACTURING PTY LTD,Q | GP136A Ironstone Satin,- None -,1,1,0,0,1.51,0
21/8/2025,1/8/2025,V-KYSB,WOB06424,C01632 OPTIMA WINDOWS & DOORS PTY LTD,NV | 272-19319 Black Matt,CPO: 30072025MH B/O,1,2,0,3.7,0,0
20/8/2025,23/7/2025,V-KYSB,WOB06139,C01494 ALLEGION (AUSTRALIA) PTY LTD T/A BRIO,NV | 272-19319 Black Matt,ALLEGION STOCK ORDER,2,60,0,0,20.49,0
20/8/2025,23/7/2025,V-KYSB,WOB06140,C01494 ALLEGION (AUSTRALIA) PTY LTD T/A BRIO,NV | 272-81880 Classic Pearl White Gloss,ALLEGION STOCK ORDER,3,60,0,0,46.06,0
19/8/2025,21/7/2025,Q-YTLA,WOB06043,C02577 CENTENARY GLASS AND MIRROR (WILROE PTY LTD T/A),Q | 272-4134S Manor Red Satin,- None -,1,2,0,0,2.21,0
19/8/2025,22/7/2025,W-HOPV,WOB06122,C02970 ARC GLASS & ALUMINIUM,W | GN231A NIGHT SKY(R) MATT (EBONY),Please pack in bundles,21,110,0,0,284.44,0
19/8/2025,30/7/2025,N-ESKP,WOB06317,- None -,NV | ANY COLOUR ANY COLOUR,LINK - WESTERN RED CIDAR - STOCK,1,66,0,0,99.79,0
18/8/2025,1/8/2025,V-KYSB,WOB06454,C03429 PROGLAZED WINDOWS & DOORS T/AS THE TRUSTEE FOR PROGLAZED AU TRUST,NV | 90N-4227S Intensity Desert Satin *4.5,CPO-BO of original order,1,12,0,12.01,0,0
15/8/2025,18/7/2025,N-ESKP,WOB05999,C00634 TAREE RECYCLED BUILDING MATERIALS,N | Universal Light Bronze (T37) - 15um - Non-Bulk,UNIVERSAL,10,19,0,0,33.44,0
15/8/2025,21/7/2025,N-ESKP,WOB06036,C00209 STRUCTURAL GLAZING,N | Universal Charcoal Grey - 25um -Bulk,UNIVERSAL -  URGENT RESUPPLY PLZ,1,1,0,0,1.94,0
15/8/2025,22/7/2025,N-ESKP,WOB06066,C00554 DUBBO SHOWERS & SECURITY SCREENS,N | Universal Light Bronze (T37) - 15um - Non-Bulk,UNIVERSAL,3,3,0,0,6.26,0
15/8/2025,22/7/2025,N-ESKP,WOB06067,C00536 MAGIC GLASS P/L,N | Universal Medium Bronze (T33) - 20um - Non-Bulk,*WARRANTY*,7,10,0,0,23.97,0
15/8/2025,24/7/2025,V-KYSB,WOB06185,C03070 CASH SALE VIC,NV | GN305A Txtura Black Texture,CPO - ROBERT,2,14,0,15.59,0,0
15/8/2025,31/7/2025,V-KYSB,WOB06411,C03262 WINDOWSCO ( BRAR TRADING COMPANY PTY LTD TRADING AS,NV | 272-19268 Black Satin (Night Sky),CPO-BO of original order,1,5,0,6.99,0,0
15/8/2025,1/8/2025,W-HOPV,WOB06450,C01938 J & L GLASS,W | 27281880 CLASSIC PEARL WHITE,Please pack in bundles,5,9,0,0,14.07,0
15/8/2025,1/8/2025,W-HOPV,WOB06471,C02048 DOOR STOP,W | GA236A SURFMIST(R) MATT (BOND OFFWHITE),Day Shift only.  Quality is crucial as order is for Door Stop,8,10,0,0,21.57,0
14/8/2025,18/7/2025,N-ESKP,WOB06019,C00374 SAFEGUARD HOME IMPROVEMENTS PTY LTD,N | Universal Light Bronze (T37) - 15um - Non-Bulk,UNIVERSAL,3,5,0,0,5.65,0
14/8/2025,24/7/2025,Q-YTLA,WOB06182,C03389 FASSIFERN VALLEY GLASS & ALUMINIUM,Q | Light Bronze Ano - 20um,- None -,7,14,0,0,22.89,0
14/8/2025,31/7/2025,N-ESKP,WOB06394,C00931 LINOX TECHNOLOGY PTY LTD,N | Universal Quarry Beige - 25um -Bulk,UNIVERSAL,5,5,0,0,15.67,0
14/8/2025,31/7/2025,W-HOPV,WOB06404,C02970 ARC GLASS & ALUMINIUM,W | GN231A NIGHT SKY(R) MATT (EBONY),- None -,1,16,0,0,16.64,0
14/8/2025,31/7/2025,W-HOPV,WOB06409,C02765 INDUSTRIAL GLASS AND ALUMINIUM,W | GL229A MONUMENT(R) MATT,PACK IN BUNDLES,3,66,0,0,82.14,0
14/8/2025,31/7/2025,W-HOPV,WOB06421,C02970 ARC GLASS & ALUMINIUM,W | GN231A NIGHT SKY(R) MATT (EBONY),PACK IN BUNDLES,20,51,0,0,160.77,0
14/8/2025,1/8/2025,N-ESKP,WOB06417,C00947 KYRIOS GLASS & ALUMINIUM,N | Universal Medium Bronze (T33) - 15um - Non-Bulk ,UNIVERSAL,7,9,0,0,21.06,0
14/8/2025,1/8/2025,W-HOPV,WOB06438,C01593 ELEVATE WINDOWS WA PTY LTD,W | GN231A NIGHT SKY(R) MATT (EBONY),- None -,2,16,0,0,13.86,0
13/8/2025,22/7/2025,V-KYSB,WOB06105,C01494 ALLEGION (AUSTRALIA) PTY LTD T/A BRIO,NV | 272-19319 Black Matt,ALLEGION STOCK ORDER,1,80,0,0,0,74.88
13/8/2025,24/7/2025,V-KYSB,WOB06175,C01632 OPTIMA WINDOWS & DOORS PTY LTD,NV | 272-9067S Monument Satin,CPO: 1158 - 1159 MONUMENT PC - TO GO WITH SO47867,4,5,0,0,13.98,0
13/8/2025,24/7/2025,V-KYSB,WOB06176,C01632 OPTIMA WINDOWS & DOORS PTY LTD,NV | 272-2266M Surfmist Matt *,CPO: 1157 - TO GO WITH SO47867 & SO47872,23,44,0,0,79.43,0
13/8/2025,24/7/2025,V-KYSB,WOB06191,C01494 ALLEGION (AUSTRALIA) PTY LTD T/A BRIO,NV | 272-9067S Monument Satin,ALLEGION STOCK ORDER (REPLACEMENT),1,20,0,21.92,0,0
13/8/2025,24/7/2025,V-KYSB,WOB06198,C01494 ALLEGION (AUSTRALIA) PTY LTD T/A BRIO,NV | 272-19319 Black Matt,ALLEGION STOCK ORDER,1,50,0,0,20,0
13/8/2025,29/7/2025,V-KYSB,WOB06315,C01297 ALL SCREENS GIPPSLAND (DOUBLE JAY (VIC) P/L T/AS),NV | 272-2266M Surfmist Matt *,CPO: 6365 B/O,1,1,0,1.06,0,0
13/8/2025,29/7/2025,W-HOPV,WOB06324,C02006 HILTON GLASS AND ALUMINIUM,W | GL213A ANODIC DARK GREY MATT,EXPRESS!!!  **PACK IN BUNDLES**,1,2,0,4.24,0,0
13/8/2025,30/7/2025,V-KYSB,WOB06355,C03482 GRAPHITE GLASS SOLUTIONS PTY LTD,NV | 272-3088S Paperbark Satin,CPO JB00138,14,21,0,43.57,0,0
13/8/2025,30/7/2025,V-KYSB,WOB06357,C03334 PROGLAZE GLASS & ALUMINIUM (DARCY DURHAM TRADING AS,NV | 272-19268 Black Satin (Night Sky),CPO EM 300725,11,22,0,0,43.55,0
13/8/2025,30/7/2025,V-KYSB,WOB06362,C01297 ALL SCREENS GIPPSLAND (DOUBLE JAY (VIC) P/L T/AS),NV | 272-9067S Monument Satin,CPO-BO-6384,3,8,0,16.48,0,0
13/8/2025,30/7/2025,W-HOPV,WOB06348,C02723 WA BUILDING SERVICES (WABS) PTY LTD,W | GD171A MOONGLOW SEMI-GLOSS,PACK IN BUNDLES,1,11,0,0,7.44,0
13/8/2025,30/7/2025,W-HOPV,WOB06350,C02602 BEARDS SECURITY DOORS & AWNING,W | GD188A DOESKIN SATIN,PACK IN BUNDLES,1,3,0,0,3.9,0
13/8/2025,30/7/2025,W-HOPV,WOB06365,C02222 ALUGLAZE ENTERPRISES,W | GL175A OLDE PEWTER SATIN,- None -,1,6,0,0,4.06,0
13/8/2025,30/7/2025,W-HOPV,WOB06381,C02765 INDUSTRIAL GLASS AND ALUMINIUM,W | GN231A NIGHT SKY(R) MATT (EBONY),- None -,4,27,0,0,27.13,0
13/8/2025,30/7/2025,W-HOPV,WOB06382,- None -,W | GD188A DOESKIN SATIN,**Darley stock** please pack in bundles,1,10,0,10.56,0,0
13/8/2025,30/7/2025,W-HOPV,WOB06383,- None -,W | 27219268 BLACK SATIN (NIGHT SKY),**Darley stock** please pack in bundles,1,6,0,16.07,0,0
13/8/2025,30/7/2025,W-HOPV,WOB06384,- None -,W | GN248A CUSTOM BLACK MATT,**Darley stock** please pack in bundles,1,10,0,55.2,0,0
13/8/2025,30/7/2025,W-HOPV,WOB06385,- None -,W | GW215A METALLIC LUSTRE (CHARCOAL LUSTRE),**Darley stock** please pack in bundles and please don't mix sections,2,116,0,106.44,0,0
13/8/2025,30/7/2025,W-HOPV,WOB06386,- None -,W | 2722266M SURFMIST MATT (BOND OFFWHITE),**Darley stock** please pack in bundles,1,20,0,18.24,0,0
13/8/2025,30/7/2025,W-HOPV,WOB06387,- None -,W | 2729066M MONUMENT MATT,**Darley stock** please pack in bundles and please don't mix sections,3,70,0,69.1,0,0
13/8/2025,30/7/2025,W-HOPV,WOB06388,- None -,W | 27251275 ANOTEC DARK GREY MATT,**Darley stock** please pack in bundles,1,30,0,31.68,0,0
13/8/2025,30/7/2025,W-HOPV,WOB06389,- None -,W | GL213A ANODIC DARK GREY MATT,**Darley stock** please pack in bundles and please don't mix sections,3,140,0,90.6,0,0
13/8/2025,30/7/2025,W-HOPV,WOB06390,C02596 TARCHIUS ANTONEY T/A AUSCO BUILD,W | GN150A BLACK SATIN,PACK IN BUNDLES,20,45,0,59.45,0,14.32
13/8/2025,31/7/2025,V-KYSB,WOB06406,C01296 WOOD STREET WINDOWS PTY LTD,NV | 272-19319 Black Matt,CPO-31/07,7,19,0,50.23,0,0
13/8/2025,1/8/2025,V-KYSB,WOB06451,C01297 ALL SCREENS GIPPSLAND (DOUBLE JAY (VIC) P/L T/AS),NV | GP105A Woodland Grey Satin,CPO: 6414,10,10,0,15.04,0,0
13/8/2025,13/8/2025,V-KYSB,WOB06007,C01494 ALLEGION (AUSTRALIA) PTY LTD T/A BRIO,NV | 272-19319 Black Matt,ALLEGION STOCK ORDER (REPLACEMENT),2,100,0,54.79,0,25.02
12/8/2025,24/7/2025,V-KYSB,WOB06192,C02165 TARANTO GLASS PTY LTD,NV | 272-9067S Monument Satin,CPO 39422 BO,1,1,0,1,0,0
12/8/2025,29/7/2025,V-KYSB,WOB06316,C02165 TARANTO GLASS PTY LTD,NV | 272-7865S Basalt Satin *,CPO: 39458,1,3,0,0,1.5,0
12/8/2025,29/7/2025,W-HOPV,WOB06336,C02621 ROCKINGHAM GLASS (READS WEST COAST),W | GL249A VIVICA STORM FRONT MATT,- None -,1,1,0,0,.87,0
12/8/2025,31/7/2025,V-KYSB,WOB06393,C02165 TARANTO GLASS PTY LTD,NV | 272-81880 Classic Pearl White Gloss,CPO - 39493,4,4,0,4.4,0,0
12/8/2025,31/7/2025,V-KYSB,WOB06413,C01780 ALUPLAST PTY LTD,NV | 272-19319 Black Matt,CPO - 33891,3,368,0,424.12,0,0
12/8/2025,1/8/2025,V-KYSB,WOB06423,C01954 JCE WINDOWS & GLASS (THE TRUSTEE FOR GRISCTI FAMILY TRUST),NV | 272-1137S Surfmist Satin,CPO 1384,32,158,0,287.39,0,0
12/8/2025,1/8/2025,V-KYSB,WOB06439,C02635 OPTISCREEN (FOUR SEASONS SUNROOMS P/L TRADING AS,NV | 272-84365 Primrose Gloss,CPO - 5080 BO,1,6,0,5.85,0,0
11/8/2025,25/7/2025,W-HOPV,WOB06236,- None -,W | Acid Dip,**Darley stock** Acid Dip Corner Stakes,1,2000,0,,0,0
11/8/2025,28/7/2025,W-HOPV,WOB06274,C01594 K & R CONTRACTORS (WA) PTY LTD,W | GY235A ANODIC NATURAL MATT (SILVER LUSTRE),Please pack in bundles,12,31,0,0,0,45.6
11/8/2025,28/7/2025,W-HOPV,WOB06277,C01683 K P GLASS,W | GN150A BLACK SATIN,PACK IN BUNDLES,9,36,0,0,52.99,0
11/8/2025,28/7/2025,W-HOPV,WOB06278,C02200 VIEWGUARD PTY LTD,W | GA078A PEARL WHITE GLOSS,PACK IN BUNDLES,2,7,0,0,8.84,0
11/8/2025,28/7/2025,W-HOPV,WOB06280,C01435 WALTERS INTERNATIONAL PTY LTD,W | 27281880 CLASSIC PEARL WHITE,PACK IN BUNDLES,2,2,0,0,7,0
11/8/2025,28/7/2025,W-HOPV,WOB06287,C01798 HOME SECURITY TEAM PTY LTD T/A SOUTH WEST SCREENS,W | 90Z7865M ZEUS BASALT MATT,PACK IN BUNDLES,2,12,0,0,11.36,0
11/8/2025,28/7/2025,W-HOPV,WOB06296,C01420 INSPIRED CABINETS,W | GA078A PEARL WHITE GLOSS,- None -,1,2,0,0,1.52,0
11/8/2025,28/7/2025,W-HOPV,WOB06301,C02907 CLIMATEFRAME PTY LTD,W | GL213A ANODIC DARK GREY MATT,PACK IN BUNDLES,13,31,0,0,48.45,0
11/8/2025,28/7/2025,W-HOPV,WOB06302,C01332 PLATINUM GLASS & ALUMINIUM,W | GD188A DOESKIN SATIN,PACK IN BUNDLES,10,11,0,0,21.04,0
11/8/2025,1/8/2025,V-KYSB,WOB06430,C02635 OPTISCREEN (FOUR SEASONS SUNROOMS P/L TRADING AS,NV | 272-3088S Paperbark Satin,CPO: 5077 (POILE),5,16,0,15.71,0,0
11/8/2025,1/8/2025,V-KYSB,WOB06432,C02635 OPTISCREEN (FOUR SEASONS SUNROOMS P/L TRADING AS,NV | 272-81880 Classic Pearl White Gloss,CPO 5078,4,21,0,19.16,0,0
11/8/2025,1/8/2025,V-KYSB,WOB06433,C01827 KP WINDOWS PTY LTD,NV | 272-19268 Black Satin (Night Sky),CPO: 1352 - CUSTOMER DROPPING OFF OWN MATERIAL,10,16,0,40.26,0,0
11/8/2025,1/8/2025,V-KYSB,WOB06436,C02635 OPTISCREEN (FOUR SEASONS SUNROOMS P/L TRADING AS,NV | 272-19268 Black Satin (Night Sky),"CPO: 5079 - DO NOT BUNDLE INTO CRATE, INDIVIDUALLY WRAP ALL POSTS",3,21,0,20.67,0,0
11/8/2025,1/8/2025,V-KYSB,WOB06440,C03070 CASH SALE VIC,NV | 272-81880 Classic Pearl White Gloss,CPO: GNT Glass,1,9,0,8.37,0,0
11/8/2025,1/8/2025,V-KYSB,WOB06441,C02096 WD ALUMINIUM FABRICATORS PTY LTD,NV | 272-19268 Black Satin (Night Sky),CPO-PH01/08,4,24,0,58.01,0,0
11/8/2025,1/8/2025,V-KYSB,WOB06443,C03429 PROGLAZED WINDOWS & DOORS T/AS THE TRUSTEE FOR PROGLAZED AU TRUST,NV | 90N-4227S Intensity Desert Satin *4.5,CPO-Pri Footscray West (PLS pack # TJ309 & TJ368 to be as bundle not into the case),33,153,0,346.04,0,0
11/8/2025,1/8/2025,V-KYSB,WOB06444,C03070 CASH SALE VIC,NV | 272-81880 Classic Pearl White Gloss,CPO: GNT Glass B/O,1,1,0,.93,0,0
11/8/2025,1/8/2025,V-KYSB,WOB06446,C03403 RENMARK GLASS (CODY THOMAS MCDONALD T/AS,NV | GY070A Ultra Silver Gloss,CPO - RENMARK GLASS - ULTRA SILVER,8,9,0,12.39,0,0
11/8/2025,1/8/2025,V-KYSB,WOB06452,C02201 BCS GLASS PTY LTD,Q | 272-19319 Black Matt ( Night Sky),CPO G5 THRF BBF Fitout,11,12,0,0,0,23.27
11/8/2025,1/8/2025,V-KYSB,WOB06453,C03429 PROGLAZED WINDOWS & DOORS T/AS THE TRUSTEE FOR PROGLAZED AU TRUST,NV | 90N-4227S Intensity Desert Satin *4.5,CPO-BO of original order,1,4,0,10.71,0,0
11/8/2025,1/8/2025,V-KYSB,WOB06458,C02201 BCS GLASS PTY LTD,NV | 272-9067S Monument Satin,CPO - Farm Barn Shed Rear Doors,12,12,0,28.98,0,0
8/8/2025,25/7/2025,N-ESKP,WOB04812,C02074 ALUGLASS PARTITIONS AND SHOP FRONTS (THE TRTEE FOR ALUGLASS,N | Universal Clear - 15um - Bulk,UNIVERSAL,3,39,0,0,65.36,0
8/8/2025,25/7/2025,V-KYSB,WOB06208,C03429 PROGLAZED WINDOWS & DOORS T/AS THE TRUSTEE FOR PROGLAZED AU TRUST,NV | 90Z-7766S Zeus Charcoal Satin,CPO-BO of original order,1,20,0,13.26,0,0
8/8/2025,25/7/2025,V-KYSB,WOB06233,C01954 JCE WINDOWS & GLASS (THE TRUSTEE FOR GRISCTI FAMILY TRUST),NV | 272-81880 Classic Pearl White Gloss,CPO - 1359 BO,2,6,0,7.07,0,0
8/8/2025,25/7/2025,W-HOPV,WOB06234,C02341 CHAD'S GLASS & ALUMINIUM T/AS CLG GLASS & ALUMINIUM,W | GN150A BLACK SATIN,PACK IN BUNDLES,1,8,0,0,0,3.2
8/8/2025,25/7/2025,W-HOPV,WOB06235,C02359 RELIABLE GLASS AND ALUMINIUM,W | 27281880 CLASSIC PEARL WHITE,PLEASE PACK IN BUNDLES,18,31,0,0,65.21,14.21
8/8/2025,25/7/2025,W-HOPV,WOB06242,C01593 ELEVATE WINDOWS WA PTY LTD,W | 90Z7315S ZEUS TIMBERLAND SATIN,- None -,1,1,0,0,0,.5
8/8/2025,25/7/2025,W-HOPV,WOB06245,C02043 SURE SECURE,W | GD171A MOONGLOW SEMI-GLOSS,Pack in bundles,10,15,0,0,0,24.06
8/8/2025,25/7/2025,W-HOPV,WOB06249,C02051 MOBILE GLASS & GLAZING,W | GA078A PEARL WHITE GLOSS,PACK IN BUNDLES,30,69,0,3.12,121.4,0
8/8/2025,28/7/2025,Q-YTLA,WOB06271,- None -,Q | GL229A Monument Matt,- None -,2,92,0,50.8,0,0
8/8/2025,28/7/2025,Q-YTLA,WOB06272,- None -,Q | GA078A Pearl White Gloss,- None -,5,460,0,466.21,0,0
8/8/2025,29/7/2025,V-KYSB,WOB06306,C03429 PROGLAZED WINDOWS & DOORS T/AS THE TRUSTEE FOR PROGLAZED AU TRUST,NV | 90Z-7766S Zeus Charcoal Satin,CPO-BO of original order,1,2,0,4.41,0,0
8/8/2025,29/7/2025,V-KYSB,WOB06323,C01714 PROGUARD SCREENS(ECO HOME CORPORATE INVESTMENTS P/L TRADING,V | Customers Own Powder,CPO-BO of original order (GN357A # Aludec Black),1,2,0,2.64,0,0
8/8/2025,30/7/2025,V-KYSB,WOB06359,C03119 360 WINDOWS PTY LTD,NV | 90Z-8189M Zeus Monument Matt,CPO - PO-3757,2,450,0,0,372.08,0
8/8/2025,30/7/2025,V-KYSB,WOB06364,C02013 DOORS BLINDS AND SHUTTERS AUST PTY LTD,NV | 971-7043K Silver Kinetic Pearl Satin *1,CPO: EMAIL 30/7,2,3,0,0,4.06,0
8/8/2025,31/7/2025,V-KYSB,WOB06391,C01647 INNOVATIVE GLASS SHOPFRONT GLASS(AUSTRALIA) PTY LTD,NV | 272-2057G Special White Birch Gloss,CPO 00669,15,38,0,80.57,0,0
8/8/2025,31/7/2025,V-KYSB,WOB06400,C01974 MELBOURNE WINDOWS PTY LTD,NV | 272-37131 White Birch Gloss,CPO - EM JAMIE310725,7,16,0,47.18,0,0
8/8/2025,31/7/2025,V-KYSB,WOB06408,C01714 PROGUARD SCREENS(ECO HOME CORPORATE INVESTMENTS P/L TRADING,NV | 272-1139M White Matt,CPO PG3868- PO-8250,1,100,0,58,0,0
8/8/2025,31/7/2025,V-KYSB,WOB06410,C03262 WINDOWSCO ( BRAR TRADING COMPANY PTY LTD TRADING AS,NV | 272-19268 Black Satin (Night Sky),CPO-23 Mason St,20,60,0,77.14,0,6.2
8/8/2025,31/7/2025,V-KYSB,WOB06412,C03119 360 WINDOWS PTY LTD,NV | 272-83246 Shale Grey Satin,CPO-3779,4,7,0,13.44,0,0
8/8/2025,31/7/2025,V-KYSB,WOB06414,C01714 PROGUARD SCREENS(ECO HOME CORPORATE INVESTMENTS P/L TRADING,V | Customers Own Powder,CPO: ST31.07.2025 ALUDEC ANTHRACITE,1,8,0,5.2,0,0
8/8/2025,31/7/2025,V-KYSB,WOB06415,C01714 PROGUARD SCREENS(ECO HOME CORPORATE INVESTMENTS P/L TRADING,NV | 272-1139M White Matt,CPO: ST31.07.2025 WHITE MATT,4,18,0,14.79,0,0
8/8/2025,31/7/2025,V-KYSB,WOB06419,C03041 WOODLANDS GLASS & ALUMINIUM(WK&JL PARISH T/AS,NV | 272-81880 Classic Pearl White Gloss,CPO - EM WAYNE PEARL WHITE,6,24,0,64.83,0,0
8/8/2025,1/8/2025,V-KYSB,WOB06422,C01743 H & R ALUMINIUM DOORS,NV | 272-19268 Black Satin (Night Sky),CPO - 1083,5,26,0,61.77,0,0
8/8/2025,1/8/2025,V-KYSB,WOB06431,C02635 OPTISCREEN (FOUR SEASONS SUNROOMS P/L TRADING AS,NV | 272-9067S Monument Satin,CPO - 5075 (YEHIA),4,5,0,5.63,0,0
8/8/2025,1/8/2025,V-KYSB,WOB06437,C02635 OPTISCREEN (FOUR SEASONS SUNROOMS P/L TRADING AS,NV | 272-84365 Primrose Gloss,CPO - 5080,2,12,0,6.16,0,5.85
8/8/2025,1/8/2025,V-KYSB,WOB06456,C01647 INNOVATIVE GLASS SHOPFRONT GLASS(AUSTRALIA) PTY LTD,NV | 272-19268 Black Satin (Night Sky),CPO PO00672,10,38,0,83.14,0,0
8/8/2025,4/8/2025,N-ESKP,WOB06455,C00909 BASIX WINDOWS & DOORS PTY LTD,NV | 906-8183F Electro Medium Bronze Kinetic Flat *1.5,*WARRANTY* - R/W FROM AAF PAINTING INHOUSE,8,9,0,24.61,0,0
8/8/2025,5/8/2025,N-ESKP,WOB06340,C03338 DEAN&BROOKE ENTERPRISES PTY LTD T/A SMART SHOPFRONTS,NV | 272-8122S Jasper Satin,- None -,14,43,0,84.3,6.41,0
8/8/2025,5/8/2025,N-ESKP,WOB06468,C00598 A TRYME GLASS GLAZING PTY LTD,NV | 272-1139S White Satin,- None -,25,288,0,73.24,384.02,0
8/8/2025,5/8/2025,N-ESKP,WOB06469,C00176 VIKING GLASS AND CARPENTRY PTY LTD,NV | 272-9067S Monument Satin,- None -,13,54,0,112.46,0,0
7/8/2025,10/7/2025,N-ESKP,WOB05711,C00209 STRUCTURAL GLAZING,N | Universal Charcoal Grey - 25um -Bulk,UNIVERSAL - URGENT RESUPPLY DUE TO DAMAGED,3,7,0,0,0,8.39
7/8/2025,15/7/2025,V-KYSB,WOB05898,C01494 ALLEGION (AUSTRALIA) PTY LTD T/A BRIO,NV | 272-81880 Classic Pearl White Gloss,ALLEGION STOCK ORDER,2,50,0,0,0,18.47
7/8/2025,24/7/2025,W-HOPV,WOB06181,C01683 K P GLASS,W | GN150A BLACK SATIN,Please pack in bundles,11,38,0,0,0,71.23
7/8/2025,24/7/2025,W-HOPV,WOB06186,C02359 RELIABLE GLASS AND ALUMINIUM,W | 27251275 ANOTEC DARK GREY MATT,Please pack in bundles,2,2,0,0,2.78,0
7/8/2025,24/7/2025,W-HOPV,WOB06196,C02970 ARC GLASS & ALUMINIUM,W | 90E9190F ELEMENTS BLACK (NIGHT SKY),- None -,7,68,0,0,221.87,0
7/8/2025,24/7/2025,W-HOPV,WOB06200,C02051 MOBILE GLASS & GLAZING,W | GA078A PEARL WHITE GLOSS,- None -,16,28,0,0,44.12,1.28
7/8/2025,25/7/2025,V-KYSB,WOB06219,C01954 JCE WINDOWS & GLASS (THE TRUSTEE FOR GRISCTI FAMILY TRUST),NV | 272-9067S Monument Satin,CPO 1355,1,1,0,.73,0,0
7/8/2025,28/7/2025,V-KYSB,WOB06290,C01647 INNOVATIVE GLASS SHOPFRONT GLASS(AUSTRALIA) PTY LTD,NV | 272-1137S Surfmist Satin,CPO 00664 B/O,1,1,0,2.03,0,0
7/8/2025,30/7/2025,V-KYSB,WOB06354,C02453 FLY SCREENING SOLUTIONS(BASS HOMES P/L & FARRELL BUSINESS,NV | GL213A Anodic Dark Grey Matt,CPO - PO-0626,1,3,0,0,1.5,0
7/8/2025,30/7/2025,V-KYSB,WOB06367,C02667 AUSTRALIAN WINDOW SOLUTIONS(WARING FAMILY TRUST T/AS,NV | GN305A Txtura Black Texture,CPO 13962- TEXTURA BLACK,7,93,0,89.69,0,0
7/8/2025,30/7/2025,V-KYSB,WOB06369,C02667 AUSTRALIAN WINDOW SOLUTIONS(WARING FAMILY TRUST T/AS,NV | GL213A Anodic Dark Grey Matt,CPO 13962- ANODIC GREY,2,33,0,47.93,0,0
7/8/2025,30/7/2025,V-KYSB,WOB06370,C02667 AUSTRALIAN WINDOW SOLUTIONS(WARING FAMILY TRUST T/AS,NV | 272-1139M White Matt,CPO 13962- WHITE MATT,1,3,0,2.57,0,0
7/8/2025,30/7/2025,V-KYSB,WOB06371,C02165 TARANTO GLASS PTY LTD,NV | 272-36672 Notre Dame Gloss,CPO: 39483,1,1,0,2.75,0,0
7/8/2025,30/7/2025,V-KYSB,WOB06372,C01742 TG GLAZING & ALUMINIUM PTY LTD,NV | CHI- China Woodland Grey,CPO-E30/07,12,79,0,0,88.71,0
7/8/2025,30/7/2025,V-KYSB,WOB06375,C01954 JCE WINDOWS & GLASS (THE TRUSTEE FOR GRISCTI FAMILY TRUST),NV | 272-19319 Black Matt,CPO: 1379,1,20,0,0,26,0
7/8/2025,30/7/2025,V-KYSB,WOB06377,C01640 A ALLIGATOR GLASS PTY LTD,NV | 272-9067S Monument Satin,CPO - 51771,4,8,0,0,22.93,0
7/8/2025,31/7/2025,V-KYSB,WOB06399,C03177 COASTAL COMMERCIAL WINDOWS ( THOMAS JOUHN O'KEEFE TRADING AS,NV | 272-9067S Monument Satin,CPO-E24/07,8,9,0,17.09,0,0
7/8/2025,31/7/2025,V-KYSB,WOB06418,C02581 MAJOR SCREENS BALLARAT ( A O'NEILL & J O'NEILL T/AS,NV | GG262A Manor Red Matt,CPO 1604VV,1,1,0,1.48,0,0
7/8/2025,1/8/2025,N-ESKP,WOB06449,C00615 WILACK PTY LTD,NV | GL229A Monument Matt,PLZ PACK BY 7/08,1,5,0,7.51,0,0
7/8/2025,1/8/2025,V-KYSB,WOB06466,C01763 STEVENS GLASS,NV | 272-7909M SoutherlyÂ® Matt,CPO: 03036PY URGENT,4,12,0,28.11,0,0
7/8/2025,4/8/2025,N-ESKP,WOB06457,C00498 R & D GLASS HOLDINGS PTY LTD,NV | 272-7559M Windspray Matt,- None -,5,5,0,11.2,0,0
7/8/2025,4/8/2025,N-ESKP,WOB06459,C00551 SPACE WINDOWS & DOORS PTY LTD,NV | 272-19319 Black Matt,- None -,12,19,0,36.16,0,0
